date,avgTa,minTa,maxTa,sumRn,avgRhm,sumSsHr,avgWs,minTg,avgTs,sumGsr,crop
2016-01-01,1.7000000000000002,-4.566666666666666,6.533333333333334,,74.7,3.933333333333333,1.1333333333333333,-7.3999999999999995,0.46666666666666673,4.52,cucumber
2016-01-02,5.333333333333333,0.5666666666666667,11.333333333333334,,77.66666666666667,4.5,0.8666666666666667,-3.233333333333333,3.0666666666666664,4.15,cucumber
2016-01-03,5.866666666666667,0.8333333333333334,12.433333333333332,,84.10000000000001,4.366666666666666,0.7000000000000001,-1.6666666666666667,4.2,4.03,cucumber
2016-01-04,4.8999999999999995,-0.43333333333333335,9.0,,55.0,7.466666666666666,2.1999999999999997,-3.9666666666666663,3.6666666666666665,7.48,cucumber
2016-01-05,-0.26666666666666666,-3.033333333333333,3.3666666666666667,,42.699999999999996,5.266666666666667,2.1333333333333333,-6.599999999999999,0.3333333333333333,6.59,cucumber
2016-01-06,0.09999999999999998,-4.833333333333333,4.933333333333334,,57.699999999999996,3.4333333333333336,1.5,-7.8,0.3666666666666667,4.87,cucumber
2016-01-07,-0.26666666666666666,-3.5666666666666664,3.533333333333333,,53.6,7.266666666666666,2.1333333333333333,-6.833333333333333,0.2666666666666667,8.55,cucumber
2016-01-08,-0.6,-4.266666666666667,3.3666666666666667,0.0,56.29999999999999,7.166666666666667,1.8,-7.8999999999999995,-0.13333333333333344,8.63,cucumber
2016-01-09,1.0333333333333332,-3.1999999999999997,5.3,0.0,59.23333333333333,6.8,1.5333333333333334,-6.733333333333333,1.2,7.23,cucumber
2016-01-10,1.4000000000000001,-1.9333333333333333,5.833333333333333,0.0,57.833333333333336,3.8333333333333335,1.4333333333333336,-5.666666666666667,0.9666666666666667,7.75,cucumber
2016-01-11,-1.3,-4.6000000000000005,3.7999999999999994,,45.833333333333336,8.633333333333333,1.8999999999999997,-8.666666666666666,-0.7333333333333334,8.92,cucumber
2016-01-12,-2.7999999999999994,-7.533333333333334,2.6333333333333333,,52.800000000000004,8.666666666666666,1.8,-10.533333333333333,-1.7666666666666668,9.05,cucumber
2016-01-13,-1.5333333333333332,-4.766666666666667,1.9333333333333333,1.0666666666666667,70.5,4.9,1.5,-7.566666666666667,-0.3666666666666667,6.05,cucumber
2016-01-14,-1.9333333333333333,-6.333333333333333,2.6333333333333333,0.4,60.86666666666667,7.166666666666667,1.4000000000000001,-9.066666666666668,0.03333333333333336,8.2,cucumber
2016-01-15,-0.3666666666666667,-4.8999999999999995,5.8,0.2,73.10000000000001,6.466666666666666,0.7000000000000001,-8.266666666666666,0.03333333333333336,7.37,cucumber
2016-01-16,0.5333333333333333,-4.266666666666667,6.266666666666667,0.2,71.56666666666666,3.1,0.8666666666666667,-8.0,0.1333333333333333,4.01,cucumber
2016-01-17,1.6333333333333335,-1.9000000000000001,5.266666666666667,2.9,76.33333333333333,0.0,1.0,-4.1,0.5333333333333333,3.61,cucumber
2016-01-18,-3.1999999999999997,-8.4,2.433333333333333,0.7666666666666666,66.5,3.8000000000000003,3.966666666666667,-8.833333333333334,-0.16666666666666666,7.04,cucumber
2016-01-19,-8.799999999999999,-11.200000000000001,-6.0,0.4,55.03333333333334,7.5,4.366666666666667,-10.366666666666667,-3.6,9.93,cucumber
2016-01-20,-8.1,-11.333333333333334,-4.066666666666666,0.0,57.333333333333336,5.966666666666666,1.9333333333333333,-11.333333333333334,-3.733333333333333,7.71,cucumber
